,team_id,abbreviation,display_name,short_name,mascot,nickname,team,color,alternate_color,group_id,conference_short_name,conference_name,conference_id,logo_name,website
0,00001,LVC,Lebanon Valley Flying Dutchmen,Lebanon Valley,Flying Dutchmen,Dutchmen,Lebanon Valley,003473,8C8984,1,MAC,MAC Commonwealth,1,LEBANON_VALLEY.PNG,godutchmen.com
1,123456,WIDE,Widener Pride,Widener,Pride,Pride,Widener,264F91,F6C34A,1,MAC,MAC Commonwealth,1,WIDENER.PNG,widenerpride.com
